Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv)),GHI (Wh/m2),Class
1.598833297053182,-0.03984095364448982,-1.358521200819795,0.16393320051072208,-0.3519413163080694,0.6779768231038374,-0.30993429887643414,2.0874720750191575,2.420682958796251,-3.161414612385538e-15,-1.184614861299606,0.2816725810514463,-1.8512569143106904e-15,0.6456913184208026,-7.992355775103247e-16,0.35898641385531166,0.11659116098651426,-1.3462894544804496,-0.04948016515072722,-0.35032341695451286,-0.36444085572265694,0.5162102146558105,Running
1.4155521889209364,-0.03984095364448982,-1.3335435380637903,0.16393320051072208,-0.4600510689792425,-1.5486027981278896,-0.731122571628807,0.7801514238516939,1.2941031724154086,-3.161414612385538e-15,-0.03599357610254497,1.12157769760867,-1.8512569143106904e-15,0.6930105990652115,-7.992355775103247e-16,-0.4018158243828626,0.11659116098651426,-1.2392178517008567,-0.04948016515072722,-0.3051363458218584,-0.36444085572265694,0.5274611398963733,Running
1.0348914258770407,-0.03984095364448982,-1.2419587746251057,0.16393320051072208,-0.7843803269927616,-1.5486027981278896,-1.1523108443811798,0.09334290463530237,0.3002122849967496,-3.161414612385538e-15,0.3695191243904141,0.1570646892940269,-1.8512569143106904e-15,0.19410079227090085,-7.992355775103247e-16,-1.2640583610527931,0.11659116098651426,-1.1525408399269008,-0.04948016515072722,-0.20615514238842528,-0.36444085572265694,0.391561806069578,Monitoring
0.17488007233342565,-0.03984095364448982,-1.0754410229184068,0.16393320051072208,-1.0005998323351073,-1.5486027981278896,-1.1523108443811798,-0.6345390520136563,-0.039165091194988,-3.161414612385538e-15,0.7076717038169806,0.2690919765951686,-1.8512569143106904e-15,-0.0028914304118012354,-7.992355775103247e-16,-1.1372579880130975,0.11659116098651426,-0.9740881686275799,-0.04948016515072722,-0.09211158191077568,0.05443378901503839,0.10181347150259068,Monitoring
-0.5723429069749616,-0.03984095364448982,-0.8839456084557028,0.16393320051072208,-0.8924900796639342,-1.5486027981278896,-0.731122571628807,-0.9931735627503713,-0.14761274900061835,-3.161414612385538e-15,0.2049759242884468,0.2768799698300074,-1.8512569143106904e-15,-0.07155582134689448,-7.992355775103247e-16,-0.9343773911495843,0.11659116098651426,0.3260670079817592,-0.04948016515072722,-0.04692451077812117,0.05443378901503839,-0.31954108068097686,Monitoring
-1.3759600734009627,-0.03984095364448982,-1.0088339222357272,0.16393320051072208,-0.8924900796639342,-1.5486027981278896,-0.731122571628807,-1.2753122420271028,-0.4627488840358029,-3.161414612385538e-15,0.3408890847399993,0.24333169127993273,-1.8512569143106904e-15,-0.24694576373540983,-7.992355775103247e-16,-1.1372579880130975,0.11659116098651426,-0.06652886887674725,-0.04948016515072722,0.03269080502702967,0.05443378901503839,-0.4449666913397481,Inspecting
-1.432354260518577,-0.03984095364448982,-0.9005973836263728,0.16393320051072208,-0.7843803269927616,-1.5486027981278896,-0.9417167080049936,-0.881530997916882,-0.3976802893524247,-3.161414612385538e-15,-0.12124747195044686,0.3487691381515957,-1.8512569143106904e-15,-0.19216855298943666,-7.992355775103247e-16,-1.3401385848766103,0.11659116098651426,0.6115912820606729,-0.04948016515072722,0.017628447982813128,0.05443378901503839,-0.3986676535899334,Monitoring
-1.1926789652687166,-0.03984095364448982,-0.9422268215530475,0.16393320051072208,-0.6762705743215885,-1.5486027981278896,-0.9417167080049936,-0.5663130401709685,0.09224795296948186,-3.161414612385538e-15,0.47242821135607244,0.5302892881636059,-1.8512569143106904e-15,-0.014464080569401223,-7.992355775103247e-16,-0.9343773911495843,0.11659116098651426,-0.270474778933114,-0.04948016515072722,-0.038317449609997084,-0.36444085572265694,-0.009881569207994101,Monitoring
-0.3326676117251017,-0.03984095364448982,-0.7091019691636689,0.16393320051072208,-0.3519413163080694,0.6779768231038374,-0.30993429887643414,0.8050987130305352,0.6714860311313193,-3.161414612385538e-15,-0.42098808151270734,-0.0741788021404156,-1.8512569143106904e-15,0.06885900056531863,-7.992355775103247e-16,0.612587159934703,0.11659116098651426,-0.5509004052606185,-0.04948016515072722,-0.09641511249483893,0.05443378901503839,0.274278312361214,Monitoring
0.44275246114209255,-0.03984095364448982,-0.6924501939929989,0.16393320051072208,-0.5681608216504155,-1.5486027981278896,-0.5205284352526208,1.4724731561462818,1.5314121647900825,-3.161414612385538e-15,-0.4999592742151018,0.017479887469609556,-1.8512569143106904e-15,0.1863856921658342,-7.992355775103247e-16,1.5001897712125725,0.11659116098651426,-0.9638908731247615,-0.04948016515072722,-0.11578100012311873,0.05443378901503839,0.5182827535159142,Running
